2025-07-18T08:00:00.000000+07:00,100.5 cms
2025-07-19T08:00:00.000000+07:00,101.2 cms
2025-07-19T10:33:20.617180+07:00,600.00 cms
2025-07-19T11:43:35.600670+07:00,600.00 cms
2025-07-19T11:53:12.673426+07:00,600.00 cms
2025-07-19T12:43:19.143800+07:00,600.00 cms
2025-07-19T12:44:35.833250+07:00,600.00 cms
2025-07-20T11:14:05.796890+07:00,653.00 cms
2025-07-21T11:13:19.110701+07:00,755.00 cms
2025-07-22T11:06:48.598166+07:00,800.00 cms
2025-07-23T11:08:54.050445+07:00,900.00 cms
2025-07-24T11:07:50.356552+07:00,1,000.00 cms
2025-07-25T11:06:58.578528+07:00,1,000.00 cms
2025-07-26T11:04:23.165148+07:00,1,000.00 cms
2025-07-27T11:15:20.014876+07:00,1,000.00 cms
2025-07-28T11:15:13.624088+07:00,1,000.00 cms
2025-07-29T11:17:19.798424+07:00,1,000.00 cms
2025-07-30T11:13:11.480984+07:00,1,000.00 cms
2025-07-31T11:11:49.685152+07:00,1,050.00 cms
2025-08-01T11:40:38.168883+07:00,1,050.00 cms
2025-08-02T11:02:01.374790+07:00,1,050.00 cms
2025-08-03T11:33:54.410510+07:00,1,000.00 cms
2025-08-04T11:44:09.622392+07:00,900.00 cms
2025-08-05T11:34:20.665200+07:00,800.00 cms
2025-08-06T11:14:52.023020+07:00,700.00 cms
2025-08-07T11:14:50.235555+07:00,700.00 cms
2025-08-08T11:14:22.217774+07:00,750.00 cms
2025-08-09T10:43:09.408187+07:00,750.00 cms
2025-08-10T11:11:43.149565+07:00,750.00 cms
2025-08-11T11:13:36.639845+07:00,750.00 cms
2025-08-12T10:41:26.051768+07:00,750.00 cms
2025-08-13T10:44:44.077376+07:00,750.00 cms
2025-08-14T10:55:36.437919+07:00,800.00 cms
2025-08-15T10:56:15.455939+07:00,850.00 cms
2025-08-16T09:26:01.526993+07:00,850.00 cms
2025-08-17T09:46:29.822719+07:00,900.00 cms
2025-08-18T09:49:35.277679+07:00,1,050.00 cms
2025-08-19T09:23:25.590446+07:00,1,150.00 cms
